URN Namespace,Reference,Used
3gpp,[RFC5279],no
alert,[RFC7462],no
cablelabs,[RFC6289],no
cgi,[RFC5138],no
clei,[RFC4152],no
dgiwg,[RFC6288],no
dvb,[RFC5328][RFC7354],no
ebu,[RFC5174],no
eidr,[RFC7302],no
epc,[RFC5134],no
epcglobal,[RFC5134],no
eurosystem,[RFC7207],no
example,[RFC6963],YES
fdc,[RFC4198],no
fipa,[RFC3616],no
geant,[RFC4926],no
gsma,[RFC7254],no
hbbtv,[RFC-higgs-hbbtv-urn-01],no
ietf,[RFC2648],YES
iptc,[RFC3937],no
isan,[RFC4246],no
isbn,[RFC3187],YES
iso,[RFC5141],no
issn,[RFC3044],YES
ivis,[RFC4617],no
liberty,[RFC3622],no
mace,[RFC3613],no
mpeg,[RFC3614],no
nato,[RFC-murdock-nato-nid-03],no
nbn,[RFC3188],no
nena,[RFC6061],no
newsml,[RFC3085],no
nfc,[RFC4729],no
nzl,[RFC4350],no
oasis,[RFC3121],no
ogc,[RFC5165],no
ogf,[RFC6453],no
oid,[RFC3061],no
oipf,[RFC6893],no
oma,[RFC4358],no
pin,[RFC3043],no
publicid,[RFC3151],no
s1000d,[RFC4688],no
schac,[RFC6338],no
service,[RFC5031],no
smpte,[RFC5119],no
swift,[RFC3615],no
tva,[RFC4195],no
uci,[RFC4179],no
ucode,[RFC6588][RFC Errata 3188][RFC Errata 3189],no
uuid,[RFC4122],no
web3d,[RFC3541],no
xmlorg,[RFC3120],no
xmpp,[RFC4854],no